rebal_date,hold_date,n_stocks,n_entries,n_exits,turnover,gross_ret,cost_1x,net_ret_1x,spy_ret,excess_ret_1x
2010-02-28,2010-03-31,78,78,0,0.5,0.09637193050576694,0.0002,0.09617193050576693,0.056528992828734914,0.03964293767703202
2010-03-31,2010-04-30,79,19,18,0.2342,0.05640797308481368,0.0001130276753484897,0.05629494540946519,0.019651734703019397,0.03664321070644579
2010-04-30,2010-05-31,79,16,16,0.2025,-0.07280105585459234,9.446805548095866e-05,-0.0728955239100733,-0.07945488517926769,0.006559361269194389
2010-05-31,2010-06-30,78,14,15,0.1859,-0.07866129082203512,9.011535773085327e-05,-0.07875140617976596,-0.056231074580810114,-0.022520331598955848
2010-06-30,2010-07-31,78,16,16,0.2051,0.09363049447024456,9.49580852462802e-05,0.09353553638499829,0.07338339917448922,0.02015213721050907
2010-07-31,2010-08-31,78,15,15,0.1923,-0.04986398560272278,9.437080741794838e-05,-0.04995835641014073,-0.04498077040994075,-0.004977586000199978
2010-08-31,2010-09-30,78,16,16,0.2051,0.12020446206071832,9.492182085379564e-05,0.12010954023986452,0.08375313646708915,0.03635640377277537
2010-09-30,2010-10-31,79,23,22,0.2848,0.05289808835992269,0.00013240567041694786,0.052765682689505745,0.043760022733767334,0.009005659955738411
2010-10-31,2010-11-30,79,20,20,0.2532,0.028464927107318374,0.00010997673829411618,0.02835495036902426,0.0,0.02835495036902426
2010-11-30,2010-12-31,80,27,26,0.3312,0.05547195267683991,0.00014315028944979867,0.05532880238739011,0.06127130181864837,-0.005942499431258262
2010-12-31,2011-01-31,80,16,16,0.2,0.007712798862560183,9.205902811257896e-05,0.0076207398344476035,0.028681586519305746,-0.021060846684858144
2011-01-31,2011-02-28,80,16,16,0.2,0.04005178875740643,8.89658201849779e-05,0.03996282293722145,0.03473718879501986,0.005225634142201591
2011-02-28,2011-03-31,80,19,19,0.2375,0.023667600161021783,0.0001053536853144711,0.023562246475707312,-0.004205625621359843,0.027767872097067155
2011-03-31,2011-04-30,81,20,19,0.2407,0.031350671720522624,0.00010602231587523155,0.03124464940464739,0.033431330467409204,-0.0021866810627618125
2011-04-30,2011-05-31,81,16,16,0.1975,-0.01850096971429338,8.717760464828317e-05,-0.018588147318941664,-0.011214510324992322,-0.007373636993949342
2011-05-31,2011-06-30,81,24,24,0.2963,-0.0030788510417550092,0.0001268337243389119,-0.0032056847660939213,-0.0217198770340703,0.01851419226797638
2011-06-30,2011-07-31,81,21,21,0.2593,-0.02749407154614589,0.0001117705094493857,-0.027605842055595277,-0.015145981036947753,-0.012459861018647524
2011-07-31,2011-08-31,81,18,18,0.2222,-0.08043189351402542,9.830622827376888e-05,-0.08053019974229919,-0.05497537143564579,-0.0255548283066534
2011-08-31,2011-09-30,82,19,18,0.2256,-0.09602773761641384,0.00010442790594829679,-0.09613216552236213,-0.07421056322243014,-0.021921602299931994
2011-09-30,2011-10-31,80,22,24,0.2875,0.14784826532275547,0.00012931202057723463,0.14771895330217824,0.11488534083915836,0.032833612463019884
2011-10-31,2011-11-30,82,24,22,0.2805,0.004417969606491,0.0001359632457739915,0.004282006360717008,-0.004063426716904961,0.008345433077621969
2011-11-30,2011-12-31,82,17,17,0.2073,-0.002355229626831391,9.095330015076155e-05,-0.0024461829269821524,0.004080005520341379,-0.006526188447323531
2011-12-31,2012-01-31,82,23,23,0.2805,0.04770172537908698,0.00011888543841545837,0.04758283994067152,0.05301139771715779,-0.005428557776486272
2012-01-31,2012-02-29,83,20,19,0.2349,0.047843859426681665,0.00010717317490590791,0.04773668625177575,0.04340452618314927,0.004332160068626481
2012-02-29,2012-03-31,83,20,20,0.241,0.040105256425762924,0.00010672089790785718,0.03999853552785507,0.02766033418435998,0.012338201343495087
2012-03-31,2012-04-30,83,15,15,0.1807,0.027107643318154382,8.054895435829366e-05,0.02702709436379609,-0.00232228534859491,0.029349379712391
2012-04-30,2012-05-31,84,18,17,0.2083,-0.0518060721540719,9.293243399732993e-05,-0.05189900458806923,-0.06005609884999452,0.00815709426192529
2012-05-31,2012-06-30,84,13,13,0.1548,0.02180570845087864,7.226966807962459e-05,0.021733438782799014,0.035217532467291646,-0.013484093684492632
2012-06-30,2012-07-31,84,21,21,0.25,0.012599328847698786,0.00010926233808970009,0.012490066509609085,0.017072279600746754,-0.0045822130911376685
2012-07-31,2012-08-31,84,23,23,0.2738,0.018004512296793798,0.0001169028208530295,0.017887609475940768,0.025052526673362774,-0.007164917197422006
2012-08-31,2012-09-30,84,17,17,0.2024,0.01788334827347435,8.836210956199009e-05,0.01779498616391236,0.019906640756605976,-0.002111654592693614
2012-09-30,2012-10-31,85,33,32,0.3824,-0.0027137231410097927,0.0001597205437641266,-0.0028734436847739193,-0.012957213525886635,0.010083769841112715
2012-10-31,2012-11-30,84,22,23,0.2679,0.026548342004285956,0.00011649576513732772,0.02643184623914863,0.00565972503372314,0.02077212120542549
2012-11-30,2012-12-31,84,20,20,0.2381,0.024941545975828438,0.00010305675026407897,0.024838489225564357,0.0018288431214581458,0.02300964610410621
2012-12-31,2013-01-31,85,22,21,0.2529,0.07304667652229863,0.00010922897190974603,0.07293744755038888,0.05864573163029707,0.014291715920091805
2013-01-31,2013-02-28,85,18,18,0.2118,0.009461122798701871,9.870313780711277e-05,0.009362419660894758,0.01275920066837144,-0.0033967810074766822
2013-02-28,2013-03-31,85,20,20,0.2353,0.048298653924375164,0.00010158872965960477,0.04819706519471556,0.03337462240346878,0.014822442791246782
2013-03-31,2013-04-30,85,23,23,0.2706,0.013493997201299786,0.00011612750062155656,0.01337786970067823,0.02374538741324983,-0.0103675177125716
2013-04-30,2013-05-31,85,21,21,0.2471,0.025525191767943954,0.00010639481622119252,0.02541879695172276,0.023609962946126162,0.0018088340055965983
2013-05-31,2013-06-30,86,24,23,0.2733,-0.01424595012464569,0.00011896041452436981,-0.014364910539170059,-0.018537526397508053,0.004172615858337994
2013-06-30,2013-07-31,86,31,31,0.3605,0.0676168836419711,0.00015302682331286657,0.06746385681865824,0.057241122816749535,0.010222734001908707
2013-07-31,2013-08-31,87,22,21,0.2471,-0.013012150401193159,0.00011359347449130105,-0.01312574387568446,-0.02999181468703438,0.01686607081134992
2013-08-31,2013-09-30,87,22,22,0.2529,0.07109660873879901,0.0001101063592421752,0.07098650237955684,0.026642413817258292,0.044344088562298545
2013-09-30,2013-10-31,87,21,21,0.2414,0.05378781611475089,0.0001097050298689184,0.05367811108488197,0.05140622415901275,0.0022718869258692223
2013-10-31,2013-11-30,87,15,15,0.1724,0.043245076925075454,8.049647294943421e-05,0.04316458045212602,0.02963810567539915,0.013526474776726867
2013-11-30,2013-12-31,88,19,18,0.2102,0.035831065137458235,9.653967592851721e-05,0.03573452546152972,0.020386356225135405,0.015348169236394316
2013-12-31,2014-01-31,88,17,17,0.1932,0.009762442367116961,8.532058769492086e-05,0.009677121779422041,-0.03001056400323565,0.03968768578265769
2014-01-31,2014-02-28,88,13,13,0.1477,0.05573558305653468,7.310116277442911e-05,0.055662481893760246,0.04551571360012274,0.010146768293637504
2014-02-28,2014-03-31,88,21,21,0.2386,-0.02144215771393672,0.00010731521976828759,-0.021549472933705006,0.003865177603549652,-0.025414650537254658
2014-03-31,2014-04-30,88,14,14,0.1591,-0.03227421648150326,7.461590044230003e-05,-0.03234883238194556,0.011395588985723792,-0.04374442136766935
2014-04-30,2014-05-31,88,15,15,0.1705,0.033108248357624055,7.773606519163783e-05,0.03303051229243242,0.02320647991701663,0.009824032375415785
2014-05-31,2014-06-30,89,23,22,0.2528,0.0318674323448773,0.00011272814290216293,0.03175470420197514,0.015777633061898833,0.015977071140076307
2014-06-30,2014-07-31,89,16,16,0.1798,-0.021330521289731917,8.023741176718656e-05,-0.021410758701499104,-0.008710120659667697,-0.012700638041831407
2014-07-31,2014-08-31,90,15,14,0.1611,0.05475252117839513,7.284890850999762e-05,0.054679672269885134,0.039463351782134115,0.015216320487751019
2014-08-31,2014-09-30,90,21,21,0.2333,-0.019962311926249178,0.00010400984706222162,-0.0200663217733114,-0.01838504305408073,-0.0016812787192306694
2014-09-30,2014-10-31,90,22,22,0.2444,0.02192333039255894,0.00010478549473239223,0.021818544897826548,0.0283354141660066,-0.006516869268180053
2014-10-31,2014-11-30,90,16,16,0.1778,0.030972783178213555,8.094604574864159e-05,0.030891837132464912,0.027471956549360854,0.0034198805831040582
2014-11-30,2014-12-31,90,33,33,0.3667,-0.0027746972614816944,0.00015526599269697583,-0.00292996325417867,-0.008011338696341408,0.005081375442162738
2014-12-31,2015-01-31,90,21,21,0.2333,0.003200670420801552,9.945051914965532e-05,0.003101219901651897,-0.02427354547521987,0.02737476537687177
2015-01-31,2015-02-28,90,19,19,0.2111,0.025442264545141664,9.461561616017902e-05,0.025347648928981486,0.056204566548859525,-0.03085691761987804
2015-02-28,2015-03-31,90,23,23,0.2556,0.01388300228506913,0.00011177840551635232,0.013771223879552777,-0.020079921897371844,0.03385114577692462
2015-03-31,2015-04-30,90,25,25,0.2778,-0.029378320280864376,0.00011740593977989827,-0.029495726220644274,0.014341659388490413,-0.04383738560913469
2015-04-30,2015-05-31,90,21,21,0.2333,0.0414980372967944,0.00010067039757430961,0.04139736689922009,0.0128559150734191,0.028541451825800992
2015-05-31,2015-06-30,90,26,26,0.2889,-0.0040211713054268865,0.0001250431048369096,-0.0041462144102637965,-0.025054644246170876,0.02090842983590708
2015-06-30,2015-07-31,90,18,18,0.2,0.03833816308417296,8.797850721945138e-05,0.03825018457695351,0.027563602229304873,0.010686582347648639
2015-07-31,2015-08-31,91,16,15,0.1703,-0.05318846514540608,8.050164211529669e-05,-0.053268966787521375,-0.06094989711039289,0.007680930322871517
2015-08-31,2015-09-30,91,18,18,0.1978,-0.022756921526786173,8.863715527897894e-05,-0.022845558682065153,-0.030556145564558546,0.007710586882493393
2015-09-30,2015-10-31,91,12,12,0.1319,0.058066933293899614,6.0136308392732624e-05,0.058006796985506884,0.09070058405819847,-0.03269378707269159
2015-10-31,2015-11-30,91,20,20,0.2198,0.016399323523215822,0.00010080523408610182,0.01629851828912972,0.0036553729125801127,0.012643145376549609
2015-11-30,2015-12-31,91,19,19,0.2088,-0.011434840326817011,9.09282029628283e-05,-0.011525768529779839,-0.023096661954228326,0.011570893424448487
2015-12-31,2016-01-31,91,17,17,0.1868,-0.05682108187549678,8.191654926727334e-05,-0.056902998424764054,-0.04413157592575978,-0.012771422499004273
2016-01-31,2016-02-29,91,22,22,0.2418,-0.011497165105096626,0.00010893979208027765,-0.011606104897176903,-0.0008255729876320839,-0.010780531909544819
2016-02-29,2016-03-31,91,20,20,0.2198,0.0691442990317978,9.611758864154196e-05,0.06904818144315626,0.06178931473707472,0.007258866706081543
2016-03-31,2016-04-30,91,21,21,0.2308,-0.015171852067778777,0.000103338603126874,-0.015275190670905651,0.009119435450385627,-0.024394626121291278
2016-04-30,2016-05-31,91,17,17,0.1868,0.03612338590428262,8.169051450873905e-05,0.036041695389773885,0.017011563009164288,0.019030132380609598
2016-05-31,2016-06-30,91,17,17,0.1868,0.036257497520518434,8.270317059781358e-05,0.03617479434992062,-0.0017157356565405957,0.03789053000646122
2016-06-30,2016-07-31,92,14,13,0.1467,0.02578813256085253,6.914169012986876e-05,0.02571899087072266,0.04186136116791661,-0.01614237029719395
2016-07-31,2016-08-31,92,19,19,0.2065,-0.025335518209217544,8.972612963314916e-05,-0.025425244338850694,0.0011974333073427879,-0.02662267764619348
2016-08-31,2016-09-30,92,23,23,0.25,0.0030712471810637547,0.00010690941805345657,0.0029643377630102982,-0.004968118690397261,0.007932456453407559
2016-09-30,2016-10-31,92,23,23,0.25,-0.028215425310720164,0.00010483360315521329,-0.028320258913875376,-0.012373438079777754,-0.01594682083409762
2016-10-31,2016-11-30,92,31,31,0.337,0.04186201732010673,0.00014154745908395852,0.04172046986102277,0.03683864524838287,0.004881824612639897
2016-11-30,2016-12-31,93,26,25,0.2742,0.008909924182193303,0.00012205392024579406,0.00878787026194751,0.014293368465581047,-0.005505498203633536
2016-12-31,2017-01-31,93,36,36,0.3871,0.035322700241157856,0.000159637393927691,0.03516306284723016,0.023894411361041312,0.01126865148618885
2017-01-31,2017-02-28,93,20,20,0.2151,0.026622005529948433,9.604930132860243e-05,0.02652595622861983,0.039291234731113844,-0.012765278502494013
2017-02-28,2017-03-31,93,28,28,0.3011,0.0072164563590072055,0.00012861473288688642,0.007087841626120319,-0.003086980749867907,0.010174822375988227
2017-03-31,2017-04-30,93,22,22,0.2366,0.012072913636341701,0.00010177992563892643,0.011971133710702775,0.014319921791830614,-0.0023487880811278398
2017-04-30,2017-05-31,93,14,14,0.1505,0.019150674427861784,6.854010887975889e-05,0.019082134318982025,0.01411295240052124,0.004969181918460786
2017-05-31,2017-06-30,93,24,24,0.2581,-0.00479482667870221,0.00011254442199942565,-0.004907371100701636,0.0014908844036189972,-0.006398255504320633
2017-06-30,2017-07-31,93,22,22,0.2366,0.035932270344644954,0.00010191943341617037,0.035830350911228784,0.025531084650645797,0.010299266260582987
2017-07-31,2017-08-31,93,22,22,0.2366,0.008976536059508175,0.00010403990570362294,0.008872496153804551,0.002917755168571512,0.005954740985233039
2017-08-31,2017-09-30,93,19,19,0.2043,0.038874168531341374,9.042638358771533e-05,0.03878374214775366,0.015111742881877,0.02367199926587666
2017-09-30,2017-10-31,93,25,25,0.2688,0.05087926948412738,0.00011652799336032377,0.05076274149076706,0.028643747885836568,0.02211899360493049
2017-10-31,2017-11-30,94,28,27,0.2926,0.025438840549195717,0.00012872674584534866,0.025310113803350368,0.030565807500037012,-0.005255693696686645
2017-11-30,2017-12-31,93,28,29,0.3065,-0.0012128854123706454,0.0001301360403964287,-0.001343021452767074,0.006980932574636611,-0.008323954027403685
2017-12-31,2018-01-31,94,27,26,0.2819,0.06959584130743332,0.0001188576323832734,0.06947698367505005,0.06175854808955794,0.007718435585492109
2018-01-31,2018-02-28,94,15,15,0.1596,-0.023828403951008423,7.922213265604574e-05,-0.02390762608366447,-0.036360468660991296,0.012452842577326827
